From,To,conf_level
,accidentBin0.0,0.5085910652920962
,accidentBin1.0,0.49140893470790376
,niceWeather0.0,0.7525773195876289
,niceWeather1.0,0.24742268041237114
accidentBin0.0,niceWeather0.0,0.7432432432432433
niceWeather0.0,accidentBin0.0,0.502283105022831
accidentBin0.0,niceWeather1.0,0.2567567567567568
niceWeather1.0,accidentBin0.0,0.5277777777777778
accidentBin1.0,niceWeather0.0,0.7622377622377623
niceWeather0.0,accidentBin1.0,0.497716894977169
accidentBin1.0,niceWeather1.0,0.2377622377622378
niceWeather1.0,accidentBin1.0,0.4722222222222222
