From,To,conf_level
,accidentBin0.0,0.5085910652920962
,accidentBin1.0,0.49140893470790376
,maxTbin1.0,0.5010309278350515
,maxTbin2.0,0.49896907216494846
,niceWeather0.0,0.7525773195876289
,niceWeather1.0,0.24742268041237114
accidentBin0.0,maxTbin1.0,0.5486486486486487
maxTbin1.0,accidentBin0.0,0.5569272976680384
accidentBin0.0,maxTbin2.0,0.45135135135135135
maxTbin2.0,accidentBin0.0,0.46005509641873277
accidentBin0.0,niceWeather0.0,0.7432432432432433
niceWeather0.0,accidentBin0.0,0.502283105022831
accidentBin0.0,niceWeather1.0,0.2567567567567568
niceWeather1.0,accidentBin0.0,0.5277777777777778
accidentBin1.0,maxTbin1.0,0.45174825174825173
maxTbin1.0,accidentBin1.0,0.44307270233196155
accidentBin1.0,maxTbin2.0,0.5482517482517483
maxTbin2.0,accidentBin1.0,0.5399449035812672
accidentBin1.0,niceWeather0.0,0.7622377622377623
niceWeather0.0,accidentBin1.0,0.497716894977169
accidentBin1.0,niceWeather1.0,0.2377622377622378
niceWeather1.0,accidentBin1.0,0.4722222222222222
maxTbin1.0,niceWeather0.0,0.7421124828532236
niceWeather0.0,maxTbin1.0,0.4940639269406393
maxTbin1.0,niceWeather1.0,0.25788751714677643
niceWeather1.0,maxTbin1.0,0.5222222222222223
maxTbin2.0,niceWeather0.0,0.7630853994490358
niceWeather0.0,maxTbin2.0,0.5059360730593607
maxTbin2.0,niceWeather1.0,0.23691460055096417
niceWeather1.0,maxTbin2.0,0.47777777777777775
accidentBin0.0maxTbin1.0,niceWeather0.0,0.7487684729064039
accidentBin0.0niceWeather0.0,maxTbin1.0,0.5527272727272727
niceWeather0.0maxTbin1.0,accidentBin0.0,0.5619223659889094
maxTbin2.0accidentBin0.0,niceWeather0.0,0.7365269461077845
accidentBin0.0niceWeather0.0,maxTbin2.0,0.4472727272727273
maxTbin2.0niceWeather0.0,accidentBin0.0,0.444043321299639
accidentBin1.0maxTbin1.0,niceWeather0.0,0.7337461300309598
accidentBin1.0niceWeather0.0,maxTbin1.0,0.43486238532110094
niceWeather0.0maxTbin1.0,accidentBin1.0,0.43807763401109057
maxTbin2.0accidentBin1.0,niceWeather0.0,0.7857142857142857
accidentBin1.0niceWeather0.0,maxTbin2.0,0.5651376146788991
maxTbin2.0niceWeather0.0,accidentBin1.0,0.555956678700361
