Date,Location,PRCP,SNOW,TMAX,TMIN,TMAXbin,TMINbin
2013-01-01T00:00:00,USC00186350,0.0,0.0,44.0,30.0,1.0,1.0
2013-01-02T00:00:00,USC00186350,0.0,0.0,45.0,30.0,1.0,1.0
2013-01-03T00:00:00,USC00186350,0.0,0.0,38.0,25.0,1.0,1.0
2013-01-04T00:00:00,USC00186350,0.0,0.0,39.0,25.0,1.0,1.0
2013-01-05T00:00:00,USC00186350,0.0,0.0,45.0,23.0,1.0,1.0
2013-01-06T00:00:00,USC00186350,0.0,0.0,45.0,30.0,1.0,1.0
2013-01-07T00:00:00,USC00186350,0.0,0.0,51.0,31.0,1.0,1.0
2013-01-08T00:00:00,USC00186350,0.0,0.0,47.0,27.0,1.0,1.0
2013-01-09T00:00:00,USC00186350,0.0,0.0,53.0,30.0,1.0,1.0
2013-01-10T00:00:00,USC00186350,0.0,0.0,52.0,31.0,1.0,1.0
2013-01-11T00:00:00,USC00186350,0.0,0.0,56.0,34.0,1.0,1.0
2013-01-12T00:00:00,USC00186350,0.04,0.0,47.0,40.0,1.0,2.0
2013-01-13T00:00:00,USC00186350,0.0,0.0,55.0,43.0,1.0,2.0
2013-01-14T00:00:00,USC00186350,0.02,0.0,61.0,45.0,2.0,2.0
2013-01-15T00:00:00,USC00186350,0.44,0.0,61.0,40.0,2.0,2.0
2013-01-16T00:00:00,USC00186350,0.73,0.0,41.0,35.0,1.0,1.0
2013-01-17T00:00:00,USC00186350,0.09,0.0,45.0,36.0,1.0,1.0
2013-01-18T00:00:00,USC00186350,0.0,0.0,45.0,34.0,1.0,1.0
2013-01-19T00:00:00,USC00186350,0.0,0.0,38.0,28.0,1.0,1.0
2013-01-20T00:00:00,USC00186350,0.0,0.0,54.0,35.0,1.0,1.0
2013-01-21T00:00:00,USC00186350,0.0,0.0,60.0,32.0,2.0,1.0
2013-01-22T00:00:00,USC00186350,0.0,0.0,47.0,19.0,1.0,1.0
2013-01-23T00:00:00,USC00186350,0.0,0.0,35.0,15.0,1.0,1.0
2013-01-24T00:00:00,USC00186350,0.04,0.9,27.0,16.0,1.0,1.0
2013-01-25T00:00:00,USC00186350,0.0,0.0,28.0,17.0,1.0,1.0
2013-01-26T00:00:00,USC00186350,0.02,0.5,26.0,19.0,1.0,1.0
2013-01-27T00:00:00,USC00186350,0.0,0.0,33.0,18.0,1.0,1.0
2013-01-28T00:00:00,USC00186350,0.17,0.0,40.0,19.0,1.0,1.0
2013-01-29T00:00:00,USC00186350,0.0,0.0,47.0,34.0,1.0,1.0
2013-01-30T00:00:00,USC00186350,0.0,0.0,71.0,42.0,2.0,2.0
2013-01-31T00:00:00,USC00186350,1.05,0.0,72.0,44.0,2.0,2.0
2013-02-01T00:00:00,USC00186350,0.01,0.4,48.0,28.0,1.0,1.0
2013-02-02T00:00:00,USC00186350,0.0,0.0,30.0,17.0,1.0,1.0
2013-02-03T00:00:00,USC00186350,0.02,0.4,32.0,22.0,1.0,1.0
2013-02-04T00:00:00,USC00186350,0.0,0.0,35.0,24.0,1.0,1.0
2013-02-05T00:00:00,USC00186350,0.0,0.0,36.0,27.0,1.0,1.0
2013-02-06T00:00:00,USC00186350,0.0,0.0,42.0,27.0,1.0,1.0
2013-02-07T00:00:00,USC00186350,0.0,0.0,48.0,27.0,1.0,1.0
2013-02-08T00:00:00,USC00186350,0.19,0.0,41.0,30.0,1.0,1.0
2013-02-09T00:00:00,USC00186350,0.0,0.0,43.0,30.0,1.0,1.0
2013-02-10T00:00:00,USC00186350,0.0,0.0,43.0,21.0,1.0,1.0
2013-02-11T00:00:00,USC00186350,0.3,0.0,46.0,26.0,1.0,1.0
2013-02-12T00:00:00,USC00186350,0.0,0.0,54.0,38.0,1.0,1.0
2013-02-13T00:00:00,USC00186350,0.0,0.0,58.0,32.0,1.0,1.0
2013-02-14T00:00:00,USC00186350,0.23,0.0,48.0,32.0,1.0,1.0
2013-02-15T00:00:00,USC00186350,0.0,0.0,51.0,33.0,1.0,1.0
2013-02-16T00:00:00,USC00186350,0.13,0.0,60.0,35.0,2.0,1.0
2013-02-17T00:00:00,USC00186350,0.0,0.0,49.0,27.0,1.0,1.0
2013-02-18T00:00:00,USC00186350,0.0,0.0,34.0,22.0,1.0,1.0
2013-02-19T00:00:00,USC00186350,0.0,0.0,42.0,32.0,1.0,1.0
2013-02-20T00:00:00,USC00186350,0.06,0.0,46.0,32.0,1.0,1.0
2013-02-21T00:00:00,USC00186350,0.0,0.0,46.0,25.0,1.0,1.0
2013-02-22T00:00:00,USC00186350,0.0,0.0,41.0,28.0,1.0,1.0
2013-02-23T00:00:00,USC00186350,0.615,0.0,35.0,32.0,1.0,1.0
2013-02-24T00:00:00,USC00186350,0.0,0.0,47.0,35.0,1.0,1.0
2013-02-25T00:00:00,USC00186350,0.0,0.0,58.0,28.0,1.0,1.0
2013-02-26T00:00:00,USC00186350,0.0,0.0,49.0,29.0,1.0,1.0
